,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Ambon,ID,-3.6954,128.1814,75.34,100,40,5.75,scattered clouds
346,Waitati,NZ,-45.75,170.5667,53.53,93,55,2.39,broken clouds
347,Constitucion,CL,-35.3333,-72.4167,62.17,66,63,7.47,broken clouds
348,Kampot,KH,10.6167,104.1833,80.65,84,57,7.09,broken clouds
349,Barrow,US,71.2906,-156.7887,-2.18,78,0,18.41,haze
350,Kichera,RU,55.9375,110.0997,12.06,93,100,1.34,light snow
351,Garowe,SO,8.4054,48.4845,74.93,49,5,14.74,clear sky
352,Mackenzie,CA,55.2999,-123.1698,35.82,55,0,5.75,clear sky
353,Yanam,IN,16.7333,82.2167,76.21,95,95,3.53,overcast clouds
354,Jinji,CN,23.2281,110.8261,64.18,84,100,4.83,overcast clouds
355,Plaster Rock,CA,46.9065,-67.39,37.6,100,100,3.91,overcast clouds
356,Camana,PE,-16.6228,-72.7111,74.16,73,9,8.79,clear sky
357,Hambantota,LK,6.1241,81.1185,78.37,82,7,3.44,clear sky
358,Limbe,CM,4.0242,9.2149,82.63,80,93,11.36,overcast clouds
359,Okato,NZ,-39.2,173.8833,60.91,70,40,16.2,scattered clouds
360,Pundaguitan,PH,6.3711,126.1689,78.39,83,100,12.41,overcast clouds
361,Rolla,US,37.9514,-91.7713,56.14,23,0,18.41,clear sky
362,Necochea,AR,-38.5473,-58.7368,62.94,90,100,17.43,overcast clouds
363,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,77,22,14.34,few clouds
364,Suez,EG,29.9737,32.5263,60.62,32,0,9.75,clear sky
365,Hedaru,TZ,-4.5,37.9,75.49,72,64,4.27,broken clouds
366,Nelson Bay,AU,-32.7167,152.15,68.0,97,100,8.68,light rain
367,Broken Hill,AU,-31.95,141.4333,66.52,60,0,7.61,clear sky
368,Honiara,SB,-9.4333,159.95,75.34,96,100,2.08,overcast clouds
369,Pedernales,DO,18.0384,-71.744,83.64,57,53,8.23,broken clouds
370,Macau,MO,22.2006,113.5461,71.4,88,40,10.36,scattered clouds
371,Apsheronsk,RU,44.46,39.73,37.83,85,95,8.5,overcast clouds
372,Voykove,UA,45.3826,36.4372,43.21,82,3,19.44,clear sky
373,Pandamatenga,BW,-18.5278,25.627,72.36,73,75,3.51,broken clouds
374,Chicama,PE,-7.8447,-79.1469,70.34,60,99,8.43,overcast clouds
375,Walvis Bay,NA,-22.9575,14.5053,65.35,72,0,2.3,clear sky
376,Narsaq,GL,60.9167,-46.05,30.42,68,38,0.6,scattered clouds
377,Khasan,RU,42.4308,130.6434,36.99,75,0,7.7,clear sky
378,Idlib,SY,35.9306,36.6339,42.84,88,89,7.87,overcast clouds
379,Perevolotskiy,RU,51.8763,54.1938,27.7,96,100,7.9,overcast clouds
380,Najran,SA,17.4924,44.1277,72.25,25,3,4.47,clear sky
381,San Andres,CO,12.5847,-81.7006,86.02,58,20,9.22,few clouds
382,Gweru,ZW,-19.45,29.8167,63.48,97,100,8.23,light rain
383,Lexington Park,US,38.2668,-76.4538,53.65,44,100,19.57,overcast clouds
384,Ciamis,ID,-7.3257,108.3534,72.81,92,100,1.97,overcast clouds
385,Chara,RU,56.9064,118.2631,9.27,85,99,2.24,overcast clouds
386,Sola,VU,-13.8833,167.55,82.2,73,97,8.86,moderate rain
387,Maun,BW,-19.9833,23.4167,73.36,78,0,4.61,clear sky
388,Kilindoni,TZ,-7.9139,39.6668,83.34,76,1,9.19,clear sky
389,Glenluce,GB,54.8798,-4.8084,51.1,73,77,5.01,broken clouds
390,Utmanzai,PK,34.188,71.7629,70.41,23,0,5.41,clear sky
391,Salekhard,RU,66.53,66.6019,-7.33,100,44,8.1,scattered clouds
392,Baculin,PH,7.4525,126.5842,76.57,94,100,8.23,overcast clouds
393,Nome,US,64.5011,-165.4064,11.16,85,40,0.0,scattered clouds
394,Ouesso,CG,1.6136,16.0517,77.77,64,100,2.28,overcast clouds
395,Saint-Joseph,RE,-21.3667,55.6167,77.38,86,27,7.16,scattered clouds
396,Shelton,US,41.3165,-73.0932,54.0,64,75,10.36,broken clouds
397,Hualmay,PE,-11.0964,-77.6139,75.51,70,100,10.33,overcast clouds
398,Mafeteng,LS,-29.823,27.2374,57.45,49,5,3.33,clear sky
399,Maryborough,AU,-25.5333,152.7,67.6,93,100,2.84,overcast clouds
400,Cervo,ES,43.6702,-7.4101,55.96,87,100,7.05,overcast clouds
401,Stepnyak,KZ,52.8339,70.7803,13.35,93,100,12.03,overcast clouds
402,Vilhena,BR,-12.7406,-60.1458,88.02,55,40,2.3,scattered clouds
403,Bosilegrad,RS,42.5011,22.4724,42.51,66,0,4.63,clear sky
404,Kampene,CD,-3.6,26.6667,69.62,99,100,2.95,moderate rain
405,Tonj,SS,7.2737,28.6822,88.41,14,77,4.56,broken clouds
406,Ransang,PH,8.9603,117.5828,79.09,86,39,4.27,scattered clouds
407,Salalah,OM,17.0151,54.0924,77.58,52,10,1.72,clear sky
408,Saldanha,ZA,-33.0117,17.9442,69.85,79,100,7.52,overcast clouds
409,Bilibino,RU,68.0546,166.4372,-10.34,100,100,2.71,overcast clouds
410,Salmo,CA,49.1999,-117.2689,49.89,97,100,1.95,overcast clouds
411,Rio Gallegos,AR,-51.6226,-69.2181,64.45,36,75,17.27,broken clouds
412,Arumbavur,IN,11.3833,78.7333,80.33,76,0,3.87,clear sky
413,Ajaccio,FR,42.0,8.9167,50.05,62,100,3.44,moderate rain
414,La Asuncion,VE,11.0333,-63.8628,80.15,74,79,19.06,broken clouds
415,Talnakh,RU,69.4865,88.3972,20.21,77,100,4.74,overcast clouds
416,Penzance,GB,50.1186,-5.5371,50.68,75,0,19.57,clear sky
417,Gizo,SB,-8.103,156.8419,79.79,79,86,4.7,overcast clouds
418,Illapel,CL,-31.6308,-71.1653,77.09,46,0,8.72,clear sky
419,Wahpeton,US,46.2652,-96.6059,27.32,50,0,18.41,clear sky
420,Alofi,NU,-19.0595,-169.9187,78.69,94,100,6.91,overcast clouds
421,Kisangani,CD,0.5167,25.2,78.76,66,82,3.15,broken clouds
422,Touzim,CZ,50.0605,12.9851,48.76,58,20,0.0,few clouds
423,Yuci,CN,37.6803,112.7319,37.15,22,0,4.47,clear sky
424,Arroio Dos Ratos,BR,-30.0772,-51.7292,73.02,58,56,10.16,broken clouds
425,Metlaltoyuca,MX,20.7333,-97.85,82.13,21,6,7.74,clear sky
426,Carbondale,US,37.7273,-89.2168,54.05,29,0,21.85,clear sky
427,Shenkursk,RU,62.1091,42.896,32.04,99,100,5.57,light snow
428,Peace River,CA,56.2501,-117.286,26.91,74,100,4.61,overcast clouds
429,Altamira,BR,-3.2033,-52.2064,91.49,62,75,3.44,broken clouds
430,Moree,AU,-29.4667,149.85,62.62,88,100,11.5,light rain
431,Igarka,RU,67.4667,86.5833,21.56,89,100,13.33,overcast clouds
432,Matagami,CA,49.7502,-77.6328,30.31,93,100,19.57,snow
433,Carmarthen,GB,51.8555,-4.3054,57.15,71,0,2.3,clear sky
434,Sinnamary,GF,5.3833,-52.95,80.71,75,97,13.6,overcast clouds
435,Zaysan,KZ,47.4667,84.8667,28.22,80,100,3.47,overcast clouds
436,Sorong,ID,-0.8833,131.25,78.44,85,57,2.26,light rain
437,Bengkulu,ID,-3.8004,102.2655,76.86,90,90,7.29,overcast clouds
438,La Grande,US,45.3246,-118.0877,63.01,52,100,1.39,overcast clouds
439,Dawei,MM,14.0833,98.2,79.59,88,75,3.04,broken clouds
440,Vila,PT,42.0304,-8.1588,50.88,78,63,2.95,broken clouds
441,Santiago Del Estero,AR,-27.7951,-64.2615,82.63,26,0,7.14,clear sky
442,Christchurch,NZ,-43.5333,172.6333,55.99,91,75,2.3,broken clouds
443,Lamesa,US,32.7376,-101.951,77.52,10,42,6.89,scattered clouds
444,Manoel Urbano,BR,-8.8389,-69.2597,85.46,70,100,1.25,overcast clouds
445,Camocim,BR,-2.9022,-40.8411,81.48,84,100,9.69,overcast clouds
446,Krasnovishersk,RU,60.4078,57.082,28.99,96,100,12.15,light snow
447,Periam,RO,46.05,20.8667,56.97,43,0,7.16,clear sky
448,Itapirapua,BR,-15.8233,-50.6133,88.57,53,14,1.25,few clouds
449,Laguna,US,38.421,-121.4238,78.17,52,0,5.75,clear sky
450,Seoul,KR,37.5683,126.9778,40.44,87,0,6.91,clear sky
451,Kawalu,ID,-7.3817,108.2082,71.85,93,100,2.01,overcast clouds
452,Nuuk,GL,64.1835,-51.7216,25.41,68,20,15.01,few clouds
453,Elko,US,41.0002,-115.5012,68.05,18,99,8.01,overcast clouds
454,Sanwer,IN,22.9833,75.8333,74.05,17,0,7.45,clear sky
455,Saint-Pierre,RE,-21.3393,55.4781,78.48,74,0,5.75,clear sky
456,Tura,IN,25.5198,90.2201,69.31,83,5,6.29,clear sky
457,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.31,85,100,1.41,overcast clouds
458,Arlit,NE,18.7369,7.3853,84.65,8,63,11.5,broken clouds
459,Calamar,CO,10.2511,-74.9146,97.23,35,99,4.05,overcast clouds
460,Nyrob,RU,60.733,56.7202,28.53,96,100,13.33,light snow
461,Rawson,AR,-43.3002,-65.1023,76.77,27,0,23.09,clear sky
462,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,73,0,6.71,clear sky
463,Aklavik,CA,68.2191,-135.0107,-2.2,65,20,8.05,few clouds
464,Mitu,CO,1.1983,-70.1733,81.0,86,100,1.23,overcast clouds
465,Abu Dhabi,AE,24.4667,54.3667,75.31,68,0,9.22,clear sky
466,Bassila,BJ,9.0081,1.6654,92.62,27,98,3.98,overcast clouds
467,Salta,AR,-24.7859,-65.4117,75.79,39,20,8.05,few clouds
468,Timmins,CA,48.4669,-81.3331,19.22,73,100,16.11,light snow
469,Wajir,KE,1.7471,40.0573,85.55,45,100,8.3,light rain
470,Trat,TH,12.5,102.5,84.9,87,10,0.4,clear sky
471,Morondava,MG,-20.2833,44.2833,82.15,75,0,11.03,clear sky
472,Dandong,CN,40.1292,124.3947,43.25,42,100,16.11,overcast clouds
473,Awbari,LY,26.5921,12.7805,68.65,11,57,11.18,broken clouds
474,Dicabisagan,PH,17.0818,122.4157,77.94,86,8,4.29,clear sky
475,Cairns,AU,-16.9167,145.7667,74.07,94,100,4.61,overcast clouds
476,Homer,US,59.6425,-151.5483,37.29,81,100,5.99,overcast clouds
477,Shishou,CN,29.7226,112.419,53.82,81,100,5.32,overcast clouds
478,Sile,TR,41.1754,29.6133,44.56,59,0,1.01,clear sky
479,Cotonou,BJ,6.3654,2.4183,84.18,84,40,12.66,scattered clouds
480,Kieta,PG,-6.2167,155.6333,77.09,89,100,6.67,overcast clouds
481,Mpanda,TZ,-6.3655,31.0409,67.33,92,5,0.74,clear sky
482,Portland,US,45.5234,-122.6762,66.29,71,75,5.75,broken clouds
483,Salihorsk,BY,52.7876,27.5415,37.45,52,17,22.68,few clouds
484,Shelburne,CA,44.0787,-80.2041,36.12,95,100,16.44,overcast clouds
485,Tara,RU,56.8944,74.371,-1.64,99,19,3.04,few clouds
486,Srandakan,ID,-7.9386,110.2506,75.24,91,100,4.0,overcast clouds
487,Okha,RU,53.5739,142.9478,27.77,97,100,15.19,light snow
488,Nanyang,CN,32.9947,112.5328,53.4,64,100,3.53,overcast clouds
489,Huilong,CN,31.8111,121.655,52.93,53,100,5.21,overcast clouds
490,Wellingborough,GB,52.3027,-0.6945,53.49,82,11,9.33,few clouds
491,Maloy,NO,61.9353,5.1136,42.73,69,100,16.62,overcast clouds
492,Kavieng,PG,-2.5744,150.7967,81.68,75,100,6.42,overcast clouds
493,Vawkavysk,BY,53.1561,24.4513,37.13,52,9,21.94,clear sky
494,Bereda,ES,43.2686,-7.5406,57.58,84,99,2.86,overcast clouds
495,Praya,CV,14.9215,-23.5087,72.14,64,40,19.57,scattered clouds
496,Ewa Beach,US,21.3156,-158.0072,78.01,54,20,11.5,few clouds
497,Burgeo,CA,47.6167,-57.6152,34.75,96,98,13.71,overcast clouds
498,Bijar,IR,35.8668,47.6051,32.9,64,2,6.2,clear sky
499,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,20,0.0,few clouds
500,Kaeo,NZ,-35.1,173.7833,58.32,94,4,4.74,clear sky
501,Dawson Creek,CA,55.7666,-120.2362,28.04,80,100,3.44,overcast clouds
502,Lanzhou,CN,36.0564,103.7922,43.57,26,72,1.83,broken clouds
503,Catamarca,AR,-28.4696,-65.7852,86.77,28,0,5.01,clear sky
504,Sergeyevka,KZ,53.88,67.4158,12.51,91,100,10.74,overcast clouds
505,Batagay-Alyta,RU,67.8006,130.4114,-4.2,87,100,5.66,overcast clouds
506,Herat,AF,34.5,62.0,49.64,56,0,12.91,clear sky
507,Buchanan,LR,5.8808,-10.0467,78.91,89,95,4.94,heavy intensity rain
508,Lewistown,US,40.5992,-77.5714,46.62,81,75,10.36,broken clouds
509,Waipawa,NZ,-41.4122,175.5153,53.98,89,94,11.41,overcast clouds
510,Inhambane,MZ,-23.865,35.3833,73.36,86,100,6.02,overcast clouds
511,Puro,PH,12.4841,123.3827,79.66,84,47,9.26,scattered clouds
512,Olavarria,AR,-36.8927,-60.3225,66.02,72,21,11.5,few clouds
513,Kerman,IR,30.2832,57.0788,57.06,15,0,11.5,clear sky
514,Los Zacatones,MX,22.95,-102.05,72.46,10,85,6.8,overcast clouds
515,Dubasari,MD,47.2631,29.1608,60.3,40,100,16.17,overcast clouds
516,Cockburn Town,TC,21.4612,-71.1419,82.36,57,40,13.8,scattered clouds
517,Hukuntsi,BW,-24.0,21.75,75.78,46,61,7.43,broken clouds
518,Maskinonge,CA,46.2286,-73.0192,40.51,75,100,14.97,overcast clouds
519,Bossier City,US,32.516,-93.7321,78.76,32,0,9.22,clear sky
520,Juegang,CN,32.3174,121.1855,52.92,57,100,5.88,overcast clouds
521,Lovozero,RU,68.005,35.0117,13.69,83,8,15.59,clear sky
522,Kabompo,ZM,-13.5927,24.2008,66.88,92,90,1.05,overcast clouds
523,Atambua,ID,-9.1061,124.8925,72.41,88,100,2.51,overcast clouds
524,Aldan,RU,58.6031,125.3894,1.74,96,94,4.52,overcast clouds
525,Gunnedah,AU,-30.9833,150.25,60.89,83,100,7.05,overcast clouds
526,Dunedin,NZ,-45.8742,170.5036,54.39,88,74,2.8,broken clouds
527,Maryville,US,35.7565,-83.9705,58.91,20,20,21.85,few clouds
528,Coos Bay,US,43.3665,-124.2179,66.31,86,40,6.91,scattered clouds
529,Catabola,AO,-12.15,17.2833,63.39,95,100,2.33,moderate rain
530,Zurrieq,MT,35.8311,14.4742,57.96,88,20,25.32,few clouds
531,Kungurtug,RU,50.5994,97.5228,0.52,92,17,2.28,few clouds
532,Olga,RU,43.7444,135.2892,35.38,71,6,9.42,clear sky
533,Bac Lieu,VN,9.285,105.7244,82.02,78,4,6.17,clear sky
534,Barrhead,GB,55.7992,-4.3929,54.75,68,14,3.44,few clouds
535,Lamu,KE,-2.2717,40.902,80.06,91,8,8.05,clear sky
536,Flin Flon,CA,54.7682,-101.865,3.04,36,0,10.36,clear sky
537,Lazurne,UA,46.084,32.5295,44.82,74,56,24.96,broken clouds
538,Floro,NO,61.5996,5.0328,42.96,70,75,10.36,broken clouds
539,Churapcha,RU,62.0025,132.4325,-9.71,100,100,1.5,overcast clouds
540,Xapuri,BR,-10.6517,-68.5044,74.17,97,100,5.7,overcast clouds
541,Marondera,ZW,-18.1853,31.5519,62.01,95,100,2.57,moderate rain
542,Fort Morgan,US,40.2503,-103.8,66.85,30,0,11.5,clear sky
543,Half Moon Bay,US,37.4636,-122.4286,73.54,74,20,11.5,mist
544,Tigil,RU,57.8,158.6667,7.36,95,100,5.68,overcast clouds
545,Rapid Valley,US,44.0625,-103.1463,45.32,34,75,13.8,broken clouds
546,Canico,PT,32.6333,-16.85,66.06,89,75,11.5,broken clouds
547,Hounde,BF,11.5,-3.5167,95.7,23,19,4.61,few clouds
548,Taybad,IR,34.74,60.7756,49.3,47,0,18.61,clear sky
549,Port Moresby,PG,-9.4431,147.1797,74.62,100,20,3.44,few clouds
550,Grand Forks,US,47.9417,-97.4337,19.33,45,20,23.02,few clouds
551,Holetown,BB,13.1867,-59.6381,84.76,73,100,16.17,overcast clouds
552,Bontang,ID,0.1333,117.5,77.23,89,21,3.83,few clouds
553,Srivardhan,IN,18.0333,73.0167,77.86,78,8,0.78,clear sky
554,Sehithwa,BW,-20.4667,22.7167,72.82,62,1,4.85,clear sky
555,Lujan,AR,-34.5703,-59.105,73.11,71,3,7.0,clear sky
556,Nikolayevsk-Na-Amure,RU,53.1406,140.73,23.45,96,100,7.45,snow
557,Jalu,LY,29.0331,21.5482,62.42,20,0,10.27,clear sky
558,Atar,MR,20.5169,-13.0499,84.4,8,4,10.13,clear sky
559,Pacifica,US,37.6138,-122.4869,70.99,76,40,11.5,mist
560,Ulagan,RU,50.6321,87.9563,10.67,87,99,2.48,overcast clouds
561,Sorland,NO,67.667,12.6934,32.54,52,100,1.01,overcast clouds
562,Eyl,SO,7.9803,49.8164,77.63,64,1,14.23,clear sky
563,Sokoto,NG,13.0609,5.239,86.49,10,34,11.34,scattered clouds
564,Port Hardy,CA,50.6996,-127.4199,46.58,87,100,10.36,light rain
565,Port Hedland,AU,-20.3167,118.5667,82.45,78,11,8.05,few clouds
566,Lopez Jaena,PH,10.8492,123.4278,78.13,85,100,6.22,moderate rain
567,Sulangan,PH,11.1373,123.7228,81.75,77,94,12.77,overcast clouds
568,Edd,ER,13.9297,41.6925,76.98,72,96,9.33,overcast clouds
569,Pontianak,ID,-0.0333,109.3333,75.18,94,100,3.44,overcast clouds
570,Yaan,NG,7.3833,8.5667,89.89,19,18,4.85,few clouds
571,Hami,CN,42.8,93.45,46.0,29,75,4.34,broken clouds
572,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,87,100,22.46,overcast clouds
573,Aleksandrov Gay,RU,50.147,48.5704,34.81,77,5,13.87,clear sky
574,Lerwick,GB,60.1545,-1.1494,46.4,90,92,11.36,overcast clouds
575,Roald,NO,62.5833,6.1333,45.75,75,75,11.5,broken clouds
576,Chanute,US,37.6792,-95.4572,59.11,25,0,0.0,clear sky
577,Marzuq,YE,14.4,46.4667,67.26,54,9,5.59,clear sky
578,Labuhan,ID,-6.8844,112.2051,76.42,91,100,6.06,overcast clouds
579,Muros,ES,42.7762,-9.0603,60.67,76,100,4.7,overcast clouds
580,Matinha,BR,-3.1006,-45.0336,80.04,87,79,5.48,moderate rain
581,Alexandria,EG,31.2156,29.9553,58.96,72,40,6.91,scattered clouds
582,Samarai,PG,-10.6167,150.6667,81.73,76,100,4.43,overcast clouds
583,Grasse,FR,43.6667,6.9167,57.09,37,0,4.61,clear sky
584,Jilin,CN,43.0,126.0,30.99,53,100,13.69,overcast clouds
585,Waddan,LY,29.1614,16.139,63.52,13,0,17.63,clear sky
586,Smithers,CA,54.7804,-127.1743,37.72,81,100,3.44,light rain
587,Puerto Colombia,CO,10.9878,-74.9547,87.89,77,40,20.49,scattered clouds
588,Jardim,BR,-21.4803,-56.1381,81.16,45,53,1.61,broken clouds
589,Yulara,AU,-25.2406,130.9889,66.04,32,1,5.75,clear sky
590,Kayseri,TR,38.737,35.4968,30.22,100,75,0.0,broken clouds
591,Luganville,VU,-15.5333,167.1667,79.12,87,94,1.03,overcast clouds
592,Deputatskiy,RU,69.3,139.9,-15.38,98,56,6.78,broken clouds
593,Ciudad Bolivar,VE,8.1222,-63.5497,86.99,50,100,9.91,overcast clouds
594,Wagar,SD,16.1525,36.2032,72.23,37,0,20.02,clear sky
595,Imbituba,BR,-28.24,-48.6703,81.82,66,10,6.02,clear sky
596,Amot,NO,59.5714,7.9877,29.95,89,100,4.88,overcast clouds
597,Brownwood,US,31.7093,-98.9912,92.52,7,0,8.05,clear sky
598,Broome,US,42.2506,-75.833,48.69,61,100,9.22,overcast clouds
599,La Crosse,US,43.8014,-91.2396,32.4,47,75,19.57,broken clouds
600,Acarau,BR,-2.8856,-40.12,81.43,80,100,12.37,overcast clouds
601,Papillion,US,41.1544,-96.0422,47.34,35,0,10.0,clear sky
602,Mariental,NA,-24.6333,17.9667,81.34,33,64,10.47,broken clouds
603,Sitka,US,57.0531,-135.33,39.09,70,20,4.61,few clouds
604,Mackay,AU,-21.15,149.2,75.18,94,100,5.75,overcast clouds
605,Bayir,TR,37.2687,28.2167,48.72,59,0,4.52,clear sky
606,Le Port,RE,-20.9373,55.2919,78.8,71,58,1.72,broken clouds
607,Massakory,TD,12.996,15.7293,83.75,9,49,16.51,scattered clouds
608,Pavino,RU,59.1139,46.1414,33.3,94,100,12.35,light snow
609,Usinsk,RU,65.9939,57.5281,4.75,96,100,15.14,overcast clouds
610,Klungkung,ID,-8.5333,115.4,75.96,92,9,3.36,clear sky
611,Kidal,ML,18.4411,1.4078,88.12,10,32,12.39,scattered clouds
612,Lisakovsk,KZ,52.5369,62.4936,9.28,97,99,7.14,overcast clouds
613,La Ligua,CL,-32.4524,-71.2311,70.45,54,0,8.99,clear sky
614,Flinders,AU,-34.5833,150.8552,62.38,94,100,5.01,light rain
615,Naze,JP,28.3667,129.4833,59.92,81,100,9.93,overcast clouds
616,Nioki,CD,-2.7167,17.6833,77.61,76,100,2.08,overcast clouds
617,Daokou,CN,35.5639,114.5058,48.49,20,100,16.17,overcast clouds
618,Tete,MZ,-16.1564,33.5867,82.49,74,75,5.75,thunderstorm
619,Lodja,CD,-3.4833,23.4333,75.02,69,100,2.64,overcast clouds
620,Pisco,PE,-13.7,-76.2167,71.65,64,0,6.91,light rain
621,Vysokogornyy,RU,50.1167,139.15,22.8,97,100,3.74,snow
622,Kilis,TR,36.7161,37.115,37.63,89,72,4.56,broken clouds
623,Bitung,ID,1.4451,125.1824,74.25,84,89,4.0,overcast clouds
624,Balanesti,RO,45.0667,23.4,47.01,61,1,4.29,clear sky
625,Butembo,CD,0.15,29.2833,60.71,89,99,2.73,light rain
626,Irituia,BR,-1.7711,-47.4381,78.4,95,67,4.41,broken clouds
627,Bilma,NE,18.6853,12.9164,76.39,11,56,6.96,broken clouds
628,Yatou,CN,37.15,122.3833,46.15,63,71,12.77,broken clouds
629,San Nicolas,PH,18.1725,120.5953,79.12,83,18,7.56,few clouds
630,Copiapo,CL,-27.3667,-70.3333,67.69,29,0,10.22,clear sky
631,Perigueux,FR,45.1833,0.7167,56.77,29,39,3.0,scattered clouds
632,Sterling,US,39.0062,-77.4286,50.77,50,40,18.41,scattered clouds
633,Mbaiki,CF,3.8678,17.9892,77.94,50,24,1.88,few clouds
634,Letlhakeng,BW,-24.0944,25.0298,66.83,78,14,5.66,few clouds
635,Halifax,CA,44.6453,-63.5724,51.69,82,60,5.99,broken clouds
636,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.5,68,21,4.32,light rain
637,Seydi,TM,39.4816,62.9137,50.52,46,13,7.7,few clouds
638,Lufilufi,WS,-13.8745,-171.5986,82.18,76,79,14.92,light rain
639,Zhigansk,RU,66.7697,123.3711,1.11,98,100,8.37,overcast clouds
640,Maldonado,UY,-34.6667,-54.9167,68.23,86,100,16.73,overcast clouds
641,Sioux Lookout,CA,50.1001,-91.917,10.47,56,75,18.41,broken clouds
642,Lieksa,FI,63.3167,30.0167,21.36,76,100,18.37,overcast clouds
643,Manggar,ID,-2.8833,108.2667,78.51,84,43,3.71,scattered clouds
644,Katsuura,JP,35.1333,140.3,66.22,95,100,19.26,overcast clouds
645,Moroni,KM,-11.7022,43.2551,81.18,82,80,2.71,broken clouds
646,Jiazi,CN,22.8779,116.067,72.79,92,43,7.74,scattered clouds
647,West Wendover,US,40.7391,-114.0733,69.01,18,0,10.36,clear sky
648,Aswan,EG,24.0934,32.907,67.3,16,0,10.36,clear sky
649,Kipushi,CD,-11.7667,27.2333,63.91,93,96,2.33,light rain
650,Palpa,PE,-14.5336,-75.1856,87.84,37,98,13.89,overcast clouds
651,Denpasar,ID,-8.65,115.2167,76.71,100,75,4.61,broken clouds
652,Cedar City,US,37.6775,-113.0619,71.4,15,0,20.71,clear sky
653,Saraikela,IN,22.7167,85.95,81.54,16,26,4.94,scattered clouds
654,Barinas,VE,8.6226,-70.2075,92.71,38,100,6.96,overcast clouds
655,Lucera,IT,41.5082,15.3351,48.02,72,100,1.92,overcast clouds
656,Udachnyy,RU,66.4167,112.4,-5.35,100,100,2.35,overcast clouds
657,Peachland,CA,49.7665,-119.7357,59.14,50,74,1.99,broken clouds
658,Stelle,DE,53.3842,10.1114,47.41,87,36,5.14,scattered clouds
659,Gayny,RU,60.3071,54.3241,31.5,95,100,14.5,snow
660,Horsham,GB,51.064,-0.3272,55.65,61,0,11.5,clear sky
661,Anito,PH,12.4497,125.2886,77.9,89,100,8.9,overcast clouds
662,Rafaela,AR,-31.2503,-61.4867,78.98,38,0,1.01,clear sky
663,Barabai,ID,-2.5833,115.3833,74.28,95,40,1.03,light rain
664,Roma,US,43.2128,-75.4557,48.38,72,75,12.66,broken clouds
665,Krasnoarmeysk,RU,51.0239,45.6969,38.1,80,100,20.6,overcast clouds
666,Ancud,CL,-41.8697,-73.8203,55.22,92,96,20.18,moderate rain
667,Minudasht,IR,37.2289,55.3747,39.52,69,3,1.83,clear sky
668,Port Lincoln,AU,-34.7333,135.8667,64.26,77,90,5.79,overcast clouds
669,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.49,39,0,3.22,clear sky
670,Oga,IT,46.4631,10.347,40.8,76,14,1.16,few clouds
671,Trapani,IT,37.8333,12.6667,58.24,82,0,9.22,clear sky
672,Mango,US,27.9797,-82.3065,79.25,53,0,8.05,clear sky
673,Khandyga,RU,62.6667,135.6,-18.71,100,100,2.06,overcast clouds
674,Macon,US,39.8667,-88.9668,42.66,45,75,21.85,broken clouds
675,Karanja,IN,20.4833,77.4833,85.91,16,4,5.7,clear sky
676,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,3.44,light rain
677,Pokhara,NP,28.2333,83.9833,66.94,21,0,7.18,clear sky
678,Nha Trang,VN,12.25,109.1833,78.8,88,1,3.76,clear sky
679,Humboldt,US,40.6665,-123.9178,62.6,45,100,4.54,overcast clouds
680,Analipsis,GR,35.3167,25.5667,58.1,58,0,4.9,clear sky
681,Abu Samrah,SY,35.3029,37.1841,48.6,80,82,23.69,broken clouds
682,Porlamar,VE,10.958,-63.8491,79.7,76,88,21.05,overcast clouds
683,Korla,CN,41.7597,86.1469,46.35,48,100,2.91,overcast clouds
